Date,Price,Change,SMA
15/03/2018,8264.4,0.66%,8859.38
16/03/2018,8289.2,0.30%,8611.3
17/03/2018,7874.9,-5.00%,8358.8
18/03/2018,8201.2,4.14%,8168.06
19/03/2018,8616.8,5.07%,8249.3
20/03/2018,8912.6,3.43%,8378.94
21/03/2018,8905.9,-0.08%,8502.28
22/03/2018,8726.2,-2.02%,8672.54
23/03/2018,8916.8,2.18%,8815.66
24/03/2018,8547.4,-4.14%,8801.78
25/03/2018,8473.2,-0.87%,8713.9
26/03/2018,8143.5,-3.89%,8561.42
27/03/2018,7801.7,-4.20%,8376.52
28/03/2018,7954.9,1.96%,8184.14
29/03/2018,7129.2,-10.38%,7900.5
30/03/2018,6853.7,-3.86%,7576.6
31/03/2018,6938.2,1.23%,7335.54
01/04/2018,6825.2,-1.63%,7140.24
02/04/2018,7068.4,3.56%,6962.94
03/04/2018,7424.2,5.03%,7021.94
04/04/2018,6808.9,-8.29%,7012.98
05/04/2018,6782,-0.40%,6981.74
06/04/2018,6624.3,-2.33%,6941.56
07/04/2018,6905.7,4.25%,6909.02
08/04/2018,7030.5,1.81%,6830.28
09/04/2018,6781.9,-3.54%,6824.88
10/04/2018,6854.8,1.08%,6839.44
11/04/2018,6962.1,1.56%,6907
12/04/2018,7926.6,13.85%,7111.18
13/04/2018,7887.4,-0.49%,7282.56
14/04/2018,8004.4,1.48%,7527.06
15/04/2018,8363.6,4.49%,7828.82
16/04/2018,8070,-3.51%,8050.4
17/04/2018,7908.6,-2.00%,8046.8
18/04/2018,8178.4,3.41%,8105
19/04/2018,8290.8,1.37%,8162.28
20/04/2018,8867,6.95%,8262.96
21/04/2018,8923.1,0.63%,8433.58
22/04/2018,8806.7,-1.30%,8613.2
23/04/2018,8952.8,1.66%,8768.08
24/04/2018,9645.3,7.73%,9038.98
25/04/2018,8873.1,-8.01%,9040.2
26/04/2018,9287,4.67%,9112.98
27/04/2018,8940.9,-3.73%,9139.82
28/04/2018,9352.4,4.60%,9219.74
29/04/2018,9415.1,0.67%,9173.7
30/04/2018,9245.1,-1.80%,9248.1
01/05/2018,9074.9,-1.84%,9205.68
02/05/2018,9243.2,1.85%,9266.14
03/05/2018,9749.7,5.48%,9345.6
04/05/2018,9708.6,-0.42%,9404.3
05/05/2018,9853.5,1.49%,9525.98
06/05/2018,9656.4,-2.00%,9642.28
07/05/2018,9431.6,-2.33%,9679.96
08/05/2018,9196.4,-2.49%,9569.3
09/05/2018,9319.1,1.33%,9491.4
10/05/2018,9025.7,-3.15%,9325.84
11/05/2018,8408.3,-6.84%,9076.22
12/05/2018,8459.5,0.61%,8881.8
13/05/2018,8693.5,2.77%,8781.22
14/05/2018,8674.1,-0.22%,8652.22
15/05/2018,8477,-2.27%,8542.48
16/05/2018,8344.4,-1.56%,8529.7
17/05/2018,8063,-3.37%,8450.4
18/05/2018,8245.7,2.27%,8360.84
19/05/2018,8245.1,-0.01%,8275.04
20/05/2018,8529,3.44%,8285.44
21/05/2018,8403.3,-1.47%,8297.22
22/05/2018,8006,-4.73%,8285.82
23/05/2018,7512.3,-6.17%,8139.14
24/05/2018,7592.9,1.07%,8008.7
25/05/2018,7477.7,-1.52%,7798.44
26/05/2018,7361.3,-1.56%,7590.04
27/05/2018,7366.7,0.07%,7462.18
28/05/2018,7119.3,-3.36%,7383.58
29/05/2018,7467.7,4.89%,7358.54
30/05/2018,7400.1,-0.91%,7343.02
31/05/2018,7502.6,1.39%,7371.28
01/06/2018,7530.8,0.38%,7404.1
02/06/2018,7646.6,1.54%,7509.56
03/06/2018,7729.3,1.08%,7561.88
04/06/2018,7504.3,-2.91%,7582.72
05/06/2018,7631.5,1.69%,7608.5
06/06/2018,7661,0.39%,7634.54
07/06/2018,7697.8,0.48%,7644.78
08/06/2018,7622.1,-0.98%,7623.34
09/06/2018,7515.8,-1.40%,7625.64
10/06/2018,6775.1,-9.85%,7454.36
11/06/2018,6885.9,1.64%,7299.34
12/06/2018,6558.2,-4.76%,7071.42
13/06/2018,6312.3,-3.75%,6809.46
14/06/2018,6647.1,5.30%,6635.72
15/06/2018,6410.3,-3.56%,6562.76
16/06/2018,6505.8,1.49%,6486.74
17/06/2018,6460.3,-0.70%,6467.16
18/06/2018,6719.8,4.02%,6548.66
19/06/2018,6752.4,0.49%,6569.72
20/06/2018,6765.4,0.19%,6640.74
21/06/2018,6728,-0.55%,6685.18
22/06/2018,6055.7,-9.99%,6604.26
23/06/2018,6167.3,1.84%,6493.76
24/06/2018,6154.6,-0.21%,6374.2
25/06/2018,6256.6,1.66%,6272.44
26/06/2018,6082.1,-2.79%,6143.26
27/06/2018,6154.9,1.20%,6163.1
28/06/2018,5883.5,-4.41%,6106.34
29/06/2018,6213.3,5.61%,6118.08
30/06/2018,6398.9,2.99%,6146.54
01/07/2018,6366.8,-0.50%,6203.48
02/07/2018,6619.5,3.97%,6296.4
03/07/2018,6513.5,-1.60%,6422.4
04/07/2018,6598.4,1.30%,6499.42
05/07/2018,6546.5,-0.79%,6528.94
06/07/2018,6617.7,1.09%,6579.12
07/07/2018,6765.5,2.23%,6608.32
08/07/2018,6714.8,-0.75%,6648.58
09/07/2018,6667.1,-0.71%,6662.32
10/07/2018,6307.2,-5.40%,6614.46
11/07/2018,6389.1,1.30%,6568.74
12/07/2018,6250.6,-2.17%,6465.76
13/07/2018,6230.2,-0.33%,6368.84
14/07/2018,6254.8,0.40%,6286.38
15/07/2018,6362.9,1.73%,6297.52
16/07/2018,6729.9,5.77%,6365.68
17/07/2018,7322,8.80%,6579.96
18/07/2018,7383.6,0.84%,6810.64
19/07/2018,7477.5,1.27%,7055.18
20/07/2018,7339.4,-1.85%,7250.48
21/07/2018,7408.7,0.95%,7386.24
22/07/2018,7412.3,0.05%,7404.3
23/07/2018,7723,4.19%,7472.18
24/07/2018,8407,8.86%,7658.08
25/07/2018,8173.7,-2.78%,7824.94
26/07/2018,7937,-2.90%,7930.6
27/07/2018,8187.4,3.15%,8085.62
28/07/2018,8234.1,0.57%,8187.84
29/07/2018,8215.6,-0.22%,8149.56
30/07/2018,8177.1,-0.47%,8150.24
31/07/2018,7729.4,-5.48%,8108.72
01/08/2018,7606.4,-1.59%,7992.52
02/08/2018,7535.6,-0.93%,7852.82
03/08/2018,7419,-1.55%,7693.5
04/08/2018,7014.3,-5.46%,7460.94
05/08/2018,7027.1,0.18%,7320.48
06/08/2018,6943.6,-1.19%,7187.92
07/08/2018,6724.9,-3.15%,7025.78
08/08/2018,6283.6,-6.56%,6798.7
09/08/2018,6538.8,4.06%,6703.6
10/08/2018,6152.3,-5.91%,6528.64
11/08/2018,6231.6,1.29%,6386.24
12/08/2018,6313,1.31%,6303.86
13/08/2018,6255.3,-0.91%,6298.2
14/08/2018,6190.2,-1.04%,6228.48
15/08/2018,6256.9,1.08%,6249.4
16/08/2018,6306.7,0.80%,6264.42
17/08/2018,6581.7,4.36%,6318.16
18/08/2018,6379.1,-3.08%,6342.92
19/08/2018,6481.5,1.61%,6401.18
20/08/2018,6268.1,-3.29%,6403.42
21/08/2018,6482.2,3.41%,6438.52
22/08/2018,6359.6,-1.89%,6394.1
23/08/2018,6521.2,2.54%,6422.52
24/08/2018,6680.4,2.44%,6462.3
25/08/2018,6734.8,0.81%,6555.64
26/08/2018,6712.7,-0.33%,6601.74
27/08/2018,6897.6,2.75%,6709.34
28/08/2018,7074.6,2.57%,6820.02
29/08/2018,7029.1,-0.64%,6889.76
30/08/2018,6993.7,-0.50%,6941.54
31/08/2018,7033.8,0.57%,7005.76
01/09/2018,7189.6,2.21%,7064.16
02/09/2018,7293.9,1.45%,7108.02
03/09/2018,7264.2,-0.41%,7155.04
04/09/2018,7377.5,1.56%,7231.8
05/09/2018,6706.8,-9.09%,7166.4
06/09/2018,6514,-2.87%,7031.28
07/09/2018,6390.9,-1.89%,6850.68
08/09/2018,6184.3,-3.23%,6634.7
09/09/2018,6238.5,0.88%,6406.9
10/09/2018,6321,1.32%,6329.74
11/09/2018,6293.9,-0.43%,6285.72
12/09/2018,6338,0.70%,6275.14
13/09/2018,6482.9,2.29%,6334.86
14/09/2018,6483.7,0.01%,6383.9
15/09/2018,6519,0.54%,6423.5
16/09/2018,6500.2,-0.29%,6464.76
17/09/2018,6251.9,-3.82%,6447.54
18/09/2018,6342,1.44%,6419.36
19/09/2018,6390.4,0.76%,6400.7
20/09/2018,6489.2,1.55%,6394.74
21/09/2018,6766.7,4.28%,6448.04
22/09/2018,6729.6,-0.55%,6543.58
23/09/2018,6704.1,-0.38%,6616
24/09/2018,6584.1,-1.79%,6654.74
25/09/2018,6445.1,-2.11%,6645.92
26/09/2018,6468.1,0.36%,6586.2
27/09/2018,6689.2,3.42%,6578.12
28/09/2018,6636,-0.79%,6564.5
29/09/2018,6603.9,-0.48%,6568.46
30/09/2018,6635.2,0.47%,6606.48
01/10/2018,6608.2,-0.41%,6634.5
02/10/2018,6549.9,-0.88%,6606.64
03/10/2018,6507.8,-0.64%,6581
04/10/2018,6584.2,1.17%,6577.06
05/10/2018,6639.1,0.83%,6577.84
06/10/2018,6596.3,-0.65%,6575.46
07/10/2018,6611,0.22%,6587.68
08/10/2018,6669.6,0.89%,6620.04
09/10/2018,6650.8,-0.28%,6633.36
10/10/2018,6618,-0.49%,6629.14
11/10/2018,6239.1,-5.72%,6557.7
12/10/2018,6291.3,0.84%,6493.76
13/10/2018,6321.7,0.48%,6424.18
14/10/2018,6326.8,0.08%,6359.38
15/10/2018,6699.8,5.90%,6375.74
16/10/2018,6705.3,0.08%,6468.98
17/10/2018,6686.6,-0.28%,6548.04
18/10/2018,6574.1,-1.68%,6598.52
19/10/2018,6512,-0.94%,6635.56
20/10/2018,6572.2,0.92%,6610.04
21/10/2018,6583,0.16%,6585.58
22/10/2018,6555.8,-0.41%,6559.42
23/10/2018,6528.7,-0.41%,6550.34
24/10/2018,6530.7,0.03%,6554.08
25/10/2018,6507,-0.36%,6541.04
26/10/2018,6510,0.05%,6526.44
27/10/2018,6494.2,-0.24%,6514.12
28/10/2018,6486.1,-0.12%,6505.6
29/10/2018,6335,-2.33%,6466.46
30/10/2018,6325.7,-0.15%,6430.2
31/10/2018,6365.9,0.64%,6401.38
01/11/2018,6400.5,0.54%,6382.64
02/11/2018,6424.7,0.38%,6370.36
03/11/2018,6386.2,-0.60%,6380.6
04/11/2018,6478.2,1.44%,6411.1
05/11/2018,6459.7,-0.29%,6429.86
06/11/2018,6502.8,0.67%,6450.32
07/11/2018,6565.3,0.96%,6478.44
08/11/2018,6474,-1.39%,6496
09/11/2018,6412,-0.96%,6482.76
10/11/2018,6427.1,0.24%,6476.24
11/11/2018,6446.1,0.30%,6464.9
12/11/2018,6435,-0.17%,6438.84
13/11/2018,6429.2,-0.09%,6429.88
14/11/2018,5842.4,-9.13%,6315.96
15/11/2018,5718.9,-2.11%,6174.32
16/11/2018,5636.2,-1.45%,6012.34
17/11/2018,5621.8,-0.26%,5849.7
18/11/2018,5658.3,0.65%,5695.52
19/11/2018,4883.8,-13.69%,5503.8
20/11/2018,4524.6,-7.36%,5264.94
21/11/2018,4638.7,2.52%,5065.44
22/11/2018,4356,-6.09%,4812.28
23/11/2018,4398,0.96%,4560.22
24/11/2018,3920.4,-10.86%,4367.54
25/11/2018,4062.2,3.62%,4275.06
26/11/2018,3837,-5.54%,4114.72
27/11/2018,3866.5,0.77%,4016.82
28/11/2018,4265.4,10.32%,3990.3
29/11/2018,4296.5,0.73%,4065.52
30/11/2018,4039.7,-5.98%,4061.02
01/12/2018,4196.2,3.87%,4132.86
02/12/2018,4160.4,-0.85%,4191.64
03/12/2018,3897.8,-6.31%,4118.12
04/12/2018,3958.5,1.56%,4050.52
05/12/2018,3771.6,-4.72%,3996.9
06/12/2018,3508.6,-6.97%,3859.38
07/12/2018,3422.2,-2.46%,3711.74
08/12/2018,3430.4,0.24%,3618.26
09/12/2018,3567.5,4.00%,3540.06
10/12/2018,3460.5,-3.00%,3477.84
11/12/2018,3407.7,-1.53%,3457.66
12/12/2018,3466.1,1.72%,3466.44
13/12/2018,3315.3,-4.35%,3443.42
14/12/2018,3247.8,-2.04%,3379.48
15/12/2018,3228.7,-0.59%,3333.12
16/12/2018,3247.9,0.60%,3301.16
17/12/2018,3526.1,8.57%,3313.16
18/12/2018,3668,4.02%,3383.7
19/12/2018,3687.1,0.52%,3471.56
20/12/2018,4076,10.55%,3641.02
21/12/2018,3850.9,-5.52%,3761.62
22/12/2018,3964.4,2.95%,3849.28
23/12/2018,3944.4,-0.50%,3904.56
24/12/2018,4026.1,2.07%,3972.36
25/12/2018,3762.5,-6.55%,3909.66
26/12/2018,3793.7,0.83%,3898.22
27/12/2018,3586.9,-5.45%,3822.72
28/12/2018,3861.6,7.66%,3806.16
29/12/2018,3706.8,-4.01%,3742.3
30/12/2018,3815,2.92%,3752.8
31/12/2018,3709.4,-2.77%,3735.94
01/01/2019,3809.4,2.69%,3780.44
02/01/2019,3873.8,1.69%,3782.88
03/01/2019,3780.1,-2.42%,3797.54
04/01/2019,3802.7,0.60%,3795.08
05/01/2019,3785.4,-0.46%,3810.28
06/01/2019,4004.1,5.78%,3849.22
07/01/2019,3985.9,-0.45%,3871.64
08/01/2019,3971,-0.37%,3909.82
09/01/2019,3978,0.17%,3944.88
10/01/2019,3603.7,-9.41%,3908.54
11/01/2019,3616.5,0.35%,3831.02
12/01/2019,3597.2,-0.53%,3753.28
13/01/2019,3490.2,-2.98%,3657.12
14/01/2019,3638.1,4.24%,3589.14
15/01/2019,3571.3,-1.84%,3582.66
16/01/2019,3588,0.47%,3576.96
17/01/2019,3626.4,1.07%,3582.8
18/01/2019,3605.6,-0.57%,3605.88
19/01/2019,3677.8,2.00%,3613.82
20/01/2019,3542.3,-3.68%,3608.02
21/01/2019,3536.7,-0.16%,3597.76
22/01/2019,3580.1,1.23%,3588.5
23/01/2019,3561.5,-0.52%,3579.68
24/01/2019,3574.3,0.36%,3558.98
25/01/2019,3572,-0.06%,3564.92
26/01/2019,3570.9,-0.03%,3571.76
27/01/2019,3555.6,-0.43%,3566.86
28/01/2019,3442.8,-3.17%,3543.12
29/01/2019,3414.8,-0.81%,3511.22
30/01/2019,3460,1.32%,3488.82
31/01/2019,3437.2,-0.66%,3462.08
01/02/2019,3467.9,0.90%,3444.54
02/02/2019,3502.5,1.00%,3456.48
03/02/2019,3459.1,-1.24%,3465.34
04/02/2019,3462.8,0.11%,3465.9
05/02/2019,3468.4,0.16%,3472.14
06/02/2019,3404.3,-1.85%,3459.42
07/02/2019,3397.7,-0.20%,3438.46
08/02/2019,3661.7,7.77%,3478.98
09/02/2019,3661.4,-0.01%,3518.7
10/02/2019,3679,0.48%,3560.82
11/02/2019,3631.8,-1.28%,3606.32
12/02/2019,3632,0.01%,3653.18
13/02/2019,3611.5,-0.56%,3643.14
14/02/2019,3592.6,-0.52%,3629.38
15/02/2019,3604.7,0.34%,3614.52
16/02/2019,3616.8,0.34%,3611.52
17/02/2019,3664.2,1.31%,3617.96
18/02/2019,3896,6.33%,3674.86
19/02/2019,3914.3,0.47%,3739.2
20/02/2019,3972.4,1.48%,3812.74
21/02/2019,3936.6,-0.90%,3876.7
22/02/2019,3965.2,0.73%,3936.9
23/02/2019,4120.4,3.91%,3981.78
24/02/2019,3755.2,-8.86%,3949.96
25/02/2019,3833.7,2.09%,3922.22
26/02/2019,3810.3,-0.61%,3896.96
27/02/2019,3814.6,0.11%,3866.84
28/02/2019,3816.6,0.05%,3806.08
01/03/2019,3821.9,0.14%,3819.42
02/03/2019,3823.1,0.03%,3817.3
03/03/2019,3809.5,-0.36%,3817.14
04/03/2019,3715.9,-2.45%,3797.4
05/03/2019,3857.2,3.80%,3805.52
06/03/2019,3863,0.15%,3813.74
07/03/2019,3875.1,0.32%,3824.14
08/03/2019,3865.9,-0.24%,3835.42
09/03/2019,3944.3,2.03%,3881.1
10/03/2019,3915.2,-0.74%,3892.7
11/03/2019,3870.3,-1.15%,3894.16
12/03/2019,3886,0.41%,3896.34
13/03/2019,3865.1,-0.54%,3896.18
14/03/2019,3879,0.36%,3883.12
15/03/2019,3924.3,1.17%,3884.94
16/03/2019,4006.4,2.09%,3912.16
17/03/2019,3981.5,-0.62%,3931.26
18/03/2019,3990.2,0.22%,3956.28
19/03/2019,4017,0.67%,3983.88
20/03/2019,4041.2,0.60%,4007.26
21/03/2019,3982.2,-1.46%,4002.42
22/03/2019,3990.4,0.21%,4004.2
23/03/2019,4002.5,0.30%,4006.66
24/03/2019,3994.7,-0.20%,4002.2
25/03/2019,3937,-1.44%,3981.36
26/03/2019,3942.8,0.15%,3973.48
27/03/2019,4041.7,2.51%,3983.74
28/03/2019,4025.6,-0.40%,3988.36
29/03/2019,4102.2,1.90%,4009.86
30/03/2019,4111.8,0.23%,4044.82
31/03/2019,4102.3,-0.23%,4076.72
01/04/2019,4145.1,1.04%,4097.4
02/04/2019,4859.3,17.23%,4264.14
03/04/2019,4968.7,2.25%,4437.44
04/04/2019,4902.4,-1.33%,4595.56
05/04/2019,5010.2,2.20%,4777.14
06/04/2019,5046.2,0.72%,4957.36
07/04/2019,5173.6,2.53%,5020.22
08/04/2019,5245.2,1.38%,5075.52
09/04/2019,5158.4,-1.65%,5126.72
10/04/2019,5307.8,2.89%,5186.24
11/04/2019,5022.6,-5.37%,5181.52
12/04/2019,5054.2,0.63%,5157.64
13/04/2019,5051.8,-0.05%,5118.96
14/04/2019,5134.8,1.64%,5114.24
15/04/2019,5032.3,-2.00%,5059.14
16/04/2019,5180.9,2.95%,5090.8
17/04/2019,5208.3,0.53%,5121.62
18/04/2019,5264.7,1.08%,5164.2
19/04/2019,5241,-0.45%,5185.44
20/04/2019,5290.2,0.94%,5237.02
21/04/2019,5243.5,-0.88%,5249.54
22/04/2019,5346.7,1.97%,5277.22
23/04/2019,5511.6,3.08%,5326.6
24/04/2019,5415.6,-1.74%,5361.52
25/04/2019,5209.1,-3.81%,5345.3
26/04/2019,5298.3,1.71%,5356.26
27/04/2019,5265.9,-0.61%,5340.1
28/04/2019,5302.3,0.69%,5298.24
29/04/2019,5235,-1.27%,5262.12
30/04/2019,5320.8,1.64%,5284.46
01/05/2019,5384.2,1.19%,5301.64
02/05/2019,5493.8,2.04%,5347.22
03/05/2019,5766.8,4.97%,5440.12
04/05/2019,5830.9,1.11%,5559.3
05/05/2019,5774.9,-0.96%,5650.12
06/05/2019,5745.1,-0.52%,5722.3
07/05/2019,5849.5,1.82%,5793.44
08/05/2019,5990.3,2.41%,5838.14
09/05/2019,6191.5,3.36%,5910.26
10/05/2019,6386,3.14%,6032.48
11/05/2019,7190.3,12.59%,6321.52
12/05/2019,6984.8,-2.86%,6548.58
13/05/2019,7806,11.76%,6911.72
14/05/2019,7994.6,2.42%,7272.34
15/05/2019,8164.6,2.13%,7628.06
16/05/2019,7871.8,-3.59%,7764.36
17/05/2019,7359.5,-6.51%,7839.3
18/05/2019,7262.6,-1.32%,7730.62
19/05/2019,8157.2,12.32%,7763.14
20/05/2019,7965.3,-2.35%,7723.28
21/05/2019,7930.3,-0.44%,7734.98
22/05/2019,7635.7,-3.72%,7790.22
23/05/2019,7852.1,2.83%,7908.12
24/05/2019,7970.1,1.50%,7870.7
25/05/2019,8027.4,0.72%,7883.12
26/05/2019,8630.2,7.51%,8023.1
